,#,country,gender,age,household_income,education_level,years_from_grad,previous_lang_perf,previous_math_perf,time_in_mins,percent_viewed,views_number,learn_scores,cog_scores
175,gro5yse797clukdxjen5h28gro5yse79,Kenya,Male,32,1,2,7.0,5,5,62,70.15,2.5,-0.354866031408342,-1.78613911439311
176,4s0omijvmreia3o21pef14s0omi2nrdb,Kenya,Female,30,2,2,6.0,3,4,10,100.0,2.5,-0.331899100614621,-0.0782853026236907
177,86f02bs2xfk86f0gg3klve5x05h7j8bg,Kenya,Male,33,4,2,9.0,5,4,3,89.68,2.0,-0.552573657778475,0.104844552517681
178,ne4r11k5ktktz6rpfra43ne4r1tjxupr,Kenya,Male,26,1,2,3.0,5,5,23,99.235,2.0,-1.0090739357593,-0.846288831292879
179,e0ydhmcs52k3ecrbwde0ydh2yx6vypvz,Kenya,Female,24,1,2,-2.0,5,5,56,99.99,1.0,0.512060194102408,0.46508067318324
180,vphofd6bpmi7r524xnvphofdohckaxi6,Kenya,Female,26,5,2,1.0,4,4,53,100.0,2.5,0.768302588737162,0.261388827302797
181,yd6poy8gr9z4mzze6oa0syd6poy8gny9,Kenya,Male,32,4,2,6.0,5,5,44,3.765,1.0,-0.152826341235295,-1.21314358766393
182,lchsvtsyjhe809h8lchsjkzzolrubvrh,Kenya,Male,21,5,2,-2.0,4,5,105,16.465,1.5,1.28557986357654,1.25429721038888
183,gukmwrwd1d97dwglot4gukmwrt79h1tz,Nigeria,Male,25,1,2,2.0,2,4,22,70.285,3.0,-0.49676048317539,-1.43465866212394
184,3fopdt11df56ix6di13fop6qhwe93k4c,Kenya,Male,23,3,2,1.0,4,5,64,100.0,2.5,0.474668926124762,-0.0528809485452585
185,xw1jdtyhde6mjzxoxw1j2d96u99j5py5,Kenya,Male,20,1,2,-2.0,5,4,87,1.835,1.0,0.842568354950478,1.01446678266189
186,t3fqzaml96urkq385bt3ji888dwhvkin,Kenya,Male,32,5,2,7.0,5,5,56,100.0,1.0,-0.047367797844771,-0.95652072932327
187,cg3rds27l59barcocg326s8qpybyhsro,Kenya,Male,28,3,3,1.0,5,5,54,100.0,1.5,0.968851245840728,-0.882042961612953
188,dehyainlopvbvck95oqdehyaiznhdlhk,Nigeria,Female,26,1,2,2.0,5,5,48,77.07499999999999,3.5,0.432507805343076,1.26450259178496
189,03xer8xpwrwms18z47n03xfajodug4xa,Kenya,Female,36,2,3,4.0,4,5,15,98.46,3.0,-0.0062975599517261,0.0769849878051972
190,x56gqdkaz1l99d7eb4x56gqde5qgnmvf,Kenya,Male,22,1,2,0.0,5,5,10,67.015,2.0,-1.45497066186878,0.31323931855898
191,hpbkvbr3mgek3frmnhpbkv14yvf9tb3t,Kenya,Male,33,4,2,7.0,5,5,100,76.7,1.5,0.431223075980473,1.0989018245402
192,4ubasrizp5nhtr0au4ubasrivw8hfs8p,Kenya,Male,31,3,2,8.0,5,5,102,100.0,2.0,0.812975554705319,0.349859320979904
193,62ir2fwhxsjpf62i30dyzp9etfp4wqwg,Botswana,Female,31,5,2,6.0,3,2,120,99.545,2.5,-0.659507059396925,0.0239403795745707
194,vfmgui769pwkcxwbp3xpqbvfmgui769z,Kenya,Male,28,4,2,4.0,5,5,115,100.0,1.5,0.890593531208683,0.336993985430346
195,hpz2otk85gasa52fxuljhpz2otxu7ac2,Kenya,Female,23,1,2,2.0,4,5,77,99.43,4.5,1.09507019686913,1.14243002411082
